"Post URL","Full Caption","# Of Chars","# Of Words","Hashtags","Number Of Hashtags","Emojis","# Of Emojis","# Of Comments","# Of Likes","Engagement Rate","Tagged Accounts","# Of Tagged Accounts","Location URL","Datetime","Post Type"
"https://www.instagram.com/p/Bm1sVjcAGbf/?taken-by=blizzfact","Comment your city you are in 👍Follow: @blizzfact ✌👇TURN ON POST NOTIFICATIONS!👆#sayingsandquotes #amazingfacts #whenitsreal #quickfact #factsss #factss #factsb #educateyourself #liveandlearn #positivethoughts #inspirationalwords #lifelesson #wordsoftheday #accurate #quotesgram #youknowit #mindblowing #truthseeker #betrue #factsonly #positivemind #humbleyourself #funnybuttrue #truuu #understand","401","41","['lifelesson', 'factss', 'sayingsandquotes', 'factsonly', 'mindblowing', 'liveandlearn', 'quickfact', 'positivethoughts', 'humbleyourself', 'whenitsreal', 'betrue', 'factsb', 'funnybuttrue', 'youknowit', 'truthseeker', 'understand', 'educateyourself', 'quotesgram', 'positivemind', 'truuu', 'inspirationalwords', 'factsss', 'wordsoftheday', 'accurate', 'amazingfacts']","25","👍✌👇👆","4","2","1096","0.08923927178153446","['blizzfact']","1","https://www.instagram.com/explore/locations/127958949/caesars-palace/","08_23_2018 at 22:56:23","photo"
"https://www.instagram.com/p/Bm1ZJc0gINY/?taken-by=blizzfact","Like if you enjoy reading facts 🤓😎@blizzfact@blizzfact👇#factsdaily #learnsomething #truthbetold💯 #factsmatter #trueshit","124","16","['factsdaily', 'learnsomething', 'factsmatter', 'truthbetold💯', 'trueshit']","5","🤓😎👇💯","4","2","1050","0.08550065019505852","['blizzfact']","1","https://www.instagram.com/explore/locations/127958949/caesars-palace/","08_23_2018 at 20:08:43","gallery"
"https://www.instagram.com/p/BmyZwdnA5dO/?taken-by=blizzfact","Like if you love dark chocolate. Comment if you like white chocolate 😛Follow: @blizzfact ✌👇TURN ON POST NOTIFICATIONS!👆#factsmatter #factsallday #questionmark #factset #factsornah #factsaboutlife #truthbetold💯 #nojoke #realshittho #wikipedia #learn #didyouknow #staytruetoyourself #tootrue #beliveinyourself #lifelesson #questioneverything #truedat #itstrue #educateyourself #accurate #understand #realshit #lessonslearned #fact #wierd","440","48","['lifelesson', 'learn', 'factsallday', 'factsornah', 'realshit', 'understand', 'questioneverything', 'educateyourself', 'truthbetold💯', 'fact', 'didyouknow', 'nojoke', 'wierd', 'realshittho', 'questionmark', 'accurate', 'factset', 'factsmatter', 'truedat', 'wikipedia', 'tootrue', 'beliveinyourself', 'staytruetoyourself', 'lessonslearned', 'factsaboutlife', 'itstrue']","26","😛✌👇👆💯","5","3","1056","0.08606957087126138","['blizzfact']","1","https://www.instagram.com/explore/locations/7853175/premier-inn-london-wembley-stadium/","08_22_2018 at 16:16:19","photo"
"https://www.instagram.com/p/BmwJnHUAGOi/?taken-by=blizzfact","Tag a friend who has a big nose 👍Follow: @blizzfact before your friends did 😛👇TURN ON POST NOTIFICATIONS!👆#factssss #factstho #dailypositivity #factsssss #truthhurts #itstrue #keepitreal #quotesgram #sadbuttrue #imjustsaying #truefact #knowledgeispower #knowledge #believing #facts #funnybuttrue","300","38","['believing', 'knowledgeispower', 'quotesgram', 'factsssss', 'sadbuttrue', 'imjustsaying', 'dailypositivity', 'truefact', 'factstho', 'knowledge', 'facts', 'funnybuttrue', 'factssss', 'truthhurts', 'keepitreal', 'itstrue']","16","👍😛👇👆","4","9","1516","0.12394343302990897","['blizzfact']","1","https://www.instagram.com/explore/locations/388644372/manchester-texas/","08_21_2018 at 19:16:45","photo"
"https://www.instagram.com/p/BmtriTAArCA/?taken-by=blizzfact","Comment your city ⛰️👇@blizzfact@blizzfact😎#facts💯💯💯 #factss #imnotanoption #instafacts #factsnotfear #pretend #educateyourself","131","15","['factss', 'pretend', 'educateyourself', 'factsnotfear', 'imnotanoption', 'instafacts', 'facts💯💯💯']","7","⛰👇😎💯💯💯","6","4","984","0.08029908972691807","['blizzfact']","1","https://www.instagram.com/explore/locations/212999109/los-angeles-california/","08_20_2018 at 20:15:28","gallery"
"https://www.instagram.com/p/BmtLpoPASdG/?taken-by=blizzfact","Where are you from? 👍Follow: @blizzfact for daily facts 😛👇TURN ON POST NOTIFICATIONS!👆#questionmark #itsthetruth #imnotanoption #factsthough #factsssss #factss #factsallday #dailypositivity #goodthoughts #truthbetold #pretend #wordsoftheday #knowledge #funfact #truefact #learn #truestory #truthhurts #nojoke #ridiculous #powerfull #knowledgeispower #imjustsaying #takenotes #whatthehell #goodquote #stayingpositive #lessonlearned #realitycheck","449","46","['factss', 'whatthehell', 'imjustsaying', 'learn', 'dailypositivity', 'factsallday', 'powerfull', 'goodthoughts', 'knowledge', 'truestory', 'stayingpositive', 'pretend', 'knowledgeispower', 'factsssss', 'goodquote', 'takenotes', 'truthbetold', 'funfact', 'nojoke', 'wordsoftheday', 'ridiculous', 'questionmark', 'truefact', 'lessonlearned', 'realitycheck', 'itsthetruth', 'factsthough', 'imnotanoption', 'truthhurts']","29","👍😛👇👆","4","11","1177","0.09655396618985695","['blizzfact']","1","https://www.instagram.com/explore/locations/401096569/city-of-liverpool/","08_20_2018 at 15:36:51","photo"
"https://www.instagram.com/p/Bmqp6Afgtqd/?taken-by=blizzfact","Whom do you talk those sh*t to? 👍Follow: @blizzfact 😎👇TURN ON POST NOTIFICATIONS!👆#explanation #factsb #sayingsandquotes #lifeslessons #factsornah #goodword #factsssss #realness #truthseeker #secrets #factsoflife #liveandlearn #philosopher #funfact #truedat #factsonly #wordoftheday #truuu #goodthoughts #truestory #forrealtho #takenotes #sadbuttrue #realshit","364","41","['sayingsandquotes', 'wordoftheday', 'factsonly', 'liveandlearn', 'factsornah', 'goodthoughts', 'truestory', 'lifeslessons', 'factsoflife', 'factsssss', 'factsb', 'truthseeker', 'forrealtho', 'realness', 'realshit', 'takenotes', 'goodword', 'sadbuttrue', 'philosopher', 'truuu', 'funfact', 'explanation', 'truedat', 'secrets']","24","👍😎👇👆","4","27","1657","0.1368660598179454","['blizzfact']","1","https://www.instagram.com/explore/locations/42770957/atlantis-the-palm/","08_19_2018 at 16:03:30","photo"
"https://www.instagram.com/p/BmoUd28gu9l/?taken-by=blizzfact","Tag friends who love to read books 😄Follow: @blizzfact 😻👇TURN ON POST NOTIFICATIONS!👆#sayingsandquotes #factsnotfear #factsss #realitycheck #commonsense #ridiculous #wordoftheday #takenotes #positivethoughts #humbleyourself","228","27","['takenotes', 'realitycheck', 'sayingsandquotes', 'commonsense', 'wordoftheday', 'humbleyourself', 'factsnotfear', 'factsss', 'ridiculous', 'positivethoughts']","10","😄😻👇👆","4","11","1181","0.09687906371911574","['blizzfact']","1","https://www.instagram.com/explore/locations/213518222/birmingham-alabama/","08_18_2018 at 18:17:41","photo"
"https://www.instagram.com/p/Bml8gK8Aw2y/?taken-by=blizzfact","Comment your favorite animal 🐶😎@blizzfact@blizzfact😎#itsthetruth #factsb #explanation #lessonslearnedinlife #goodword #factsdaily #questionmark #sotrue #ridiculous","168","18","['explanation', 'goodword', 'factsdaily', 'sotrue', 'factsb', 'itsthetruth', 'lessonslearnedinlife', 'ridiculous', 'questionmark']","9","🐶😎😎","3","13","1136","0.09338426527958388","['blizzfact']","1","https://www.instagram.com/explore/locations/855439231297756/breguet/","08_17_2018 at 20:09:48","gallery"
"https://www.instagram.com/p/BmlmuFygPke/?taken-by=blizzfact","I guess who counted that ✌️Follow: @blizzfact before your friends did 👌👇TURN ON POST NOTIFICATIONS!👆#powerfulquotes #thoughs #factsnotfear #factsz #wordsdoinspire #lifelesson #randomness #powerfull #facts #knowyourself #keepitreal #facts💯 #takenotes #lessonlearned #thinkaboutit #truthhurts #factsoflife #trueshit #factz","325","38","['randomness', 'lifelesson', 'takenotes', 'lessonlearned', 'thinkaboutit', 'thoughs', 'factsoflife', 'factsz', 'facts💯', 'factz', 'knowyourself', 'powerfulquotes', 'factsnotfear', 'wordsdoinspire', 'powerfull', 'truthhurts', 'trueshit', 'keepitreal', 'facts']","19","✌👌👇👆💯","5","1","794","0.06461313394018206","['blizzfact']","1","https://www.instagram.com/explore/locations/213385402/london-united-kingdom/","08_17_2018 at 16:59:28","photo"
