"Post URL","Full Caption","# Of Chars","# Of Words","Hashtags","Number Of Hashtags","Emojis","# Of Emojis","# Of Comments","# Of Likes","Engagement Rate","Tagged Accounts","# Of Tagged Accounts","Location URL","Date","Time","Day","Month","Post Type","Mentions","# Of Mentions","Video Duration","Video Views","# Of Content"
"","","","","","","","","","","","","","","08.23.2018","13:17:57","","","","","","","",""
"","","","","","","","","","","","","","","08.22.2018","19:34:54","","","","","","","",""
"","","","","","","","","","","","","","","08.21.2018","17:13:17","","","","","","","",""
"","","","","","","","","","","","","","","08.20.2018","20:51:20","","","","","","","",""
"","","","","","","","","","","","","","","08.20.2018","17:04:12","","","","","","","",""
"","","","","","","","","","","","","","","08.19.2018","20:58:24","","","","","","","",""
"","","","","","","","","","","","","","","08.18.2018","21:13:33","","","","","","","",""
"","","","","","","","","","","","","","","08.17.2018","19:31:53","","","","","","","",""
"","","","","","","","","","","","","","","08.17.2018","12:21:31","","","","","","","",""
"","","","","","","","","","","","","","","08.15.2018","16:14:09","","","","","","","",""
